language,skew_angle,hires_cer,stock_cer
zh,0,0.3823039720922857,0.39578212954887815
zh,3,0.3889241259018473,0.46376754142551335
zh,6,0.3947910885594228,0.5235867755490367
zh,10,0.3916990406723222,0.5815824942519623
ja,0,0.3042285946440058,0.31242170836577854
ja,3,0.31066120459085217,0.34874902664454754
ja,6,0.3009107221451061,0.3994312218573315
ja,10,0.3021972441344754,0.43088329891322746
de,0,0.10374377140505343,0.11895697676127762
de,3,0.11066688224832066,0.20138756191848073
de,6,0.11281289962224214,0.23942792468360943
de,10,0.10997604103890758,0.2833771846015904
es,0,0.13088588398837356,0.14290408189055984
es,3,0.12686718058890434,0.21661822317705043
es,6,0.12939466700366486,0.2932516112725894
es,10,0.13271831163907494,0.33083533426007833
fr,0,0.27117476536264745,0.33563904595160876
fr,3,0.2933182170431388,0.3662064808702391
fr,6,0.2911655807812635,0.3983238138974197
fr,10,0.29326081340948884,0.4035618954679831
