system,image,cer,wer,word_acc,ref_chars,seconds
hires-ml[fr],fr_val_0,0.06308068459657702,0.11280487804878049,0.9176829268292683,2045,1.653
hires-ml[fr],fr_val_1,0.10228310502283106,0.17219917012448133,0.8755186721991701,3285,3.86
hires-ml[fr],fr_val_2,0.5308310991957105,0.544,0.736,746,0.989
hires-ml[fr],fr_val_3,0.06584766584766585,0.1118421052631579,0.944078947368421,2035,1.977
hires-ml[fr],fr_val_4,0.16091954022988506,0.2318840579710145,0.8405797101449275,870,1.511
hires-ml[fr],fr_val_5,0.06241699867197875,0.14655172413793102,0.8793103448275862,753,1.657
hires-ml[fr],fr_val_6,0.33756613756613757,0.42592592592592593,0.8209876543209876,945,1.024
hires-ml[fr],fr_val_7,0.04767184035476718,0.12080536912751678,0.9261744966442953,902,1.541
hires-ml[fr],fr_val_8,0.11046752172114191,0.19414893617021275,0.8643617021276596,2417,2.789
hires-ml[fr],fr_val_9,0.2958579881656805,0.33986928104575165,0.8888888888888888,1014,1.592
hires-ml[fr],fr_val_10,0.43729903536977494,0.6195652173913043,0.75,622,0.894
hires-ml[fr],fr_val_11,0.552054794520548,0.6826086956521739,0.9130434782608695,1460,2.011
hires-ml[fr],fr_val_12,0.06559571619812583,0.18253968253968253,0.8333333333333334,747,0.75
hires-ml[fr],fr_val_13,0.40578817733990147,0.49818181818181817,0.8254545454545454,1624,2.508
hires-ml[fr],fr_val_14,0.4306902452937821,0.5308219178082192,0.6712328767123288,1753,2.851
hires-ml[fr],fr_val_15,0.2716049382716049,0.2755102040816326,0.8112244897959183,1134,1.477
hires-ml[fr],fr_val_16,0.1314156796390299,0.2629757785467128,0.8477508650519031,1773,1.938
hires-ml[fr],fr_val_17,0.28299172959367136,0.47737556561085975,0.7624434389140271,2781,3.714
hires-ml[fr],fr_val_18,0.274025974025974,0.4049586776859504,0.8016528925619835,770,1.448
hires-ml[fr],fr_val_19,0.3981009726725336,0.5036179450072359,0.8176555716353111,4318,4.146
hires-ml[fr],fr_val_20,0.16955875061973227,0.4265927977839335,0.6565096952908587,2017,3.673
hires-ml[fr],fr_val_21,0.12822014051522249,0.2576271186440678,0.8135593220338984,1708,2.526
hires-ml[fr],fr_val_22,0.15578947368421053,0.2631578947368421,0.8421052631578947,1425,1.983
hires-ml[fr],fr_val_23,0.24251069900142652,0.37719298245614036,0.6842105263157895,701,0.954
hires-ml[fr],fr_val_24,0.1956521739130435,0.30327868852459017,0.8934426229508197,782,0.971
hires-ml[fr],fr_val_25,0.31705364291433147,0.4024691358024691,0.8197530864197531,2498,2.404
hires-ml[fr],fr_val_26,0.4648014440433213,0.4943820224719101,0.7471910112359551,1108,1.737
hires-ml[fr],fr_val_27,0.09476843910806175,0.13897280966767372,0.9123867069486404,2332,2.663
hires-ml[fr],fr_val_28,0.24267211997273347,0.357429718875502,0.8112449799196787,1467,1.588
hires-ml[fr],fr_val_29,0.3477859778597786,0.6966292134831461,0.6629213483146067,1084,2.356
hires-ml[fr],fr_val_30,0.2949907235621521,0.45390070921985815,0.7695035460992907,1617,2.353
hires-ml[fr],fr_val_31,0.15097690941385436,0.2994652406417112,0.8181818181818182,1126,1.682
hires-ml[fr],fr_val_32,0.5410889414947582,0.6573787409700722,0.8369453044375645,5914,4.41
hires-ml[fr],fr_val_33,0.2447521214828048,0.3405275779376499,0.8201438848920863,2239,2.289
hires-ml[fr],fr_val_34,0.3109090909090909,0.43915343915343913,0.873015873015873,1100,1.704
hires-ml[fr],fr_val_35,0.14639865996649917,0.2593320235756385,0.8113948919449901,2985,5.923
hires-ml[fr],fr_val_36,0.2064650677789364,0.27848101265822783,0.810126582278481,959,1.428
hires-ml[fr],fr_val_37,0.5558519506502168,0.6746987951807228,0.857429718875502,2999,4.135
hires-ml[fr],fr_val_38,0.17801047120418848,0.2,0.8426229508196721,1910,2.444
hires-ml[fr],fr_val_39,0.13977868375072802,0.2087912087912088,0.9047619047619048,1717,2.621
paddle-stock[fr],fr_val_0,0.042053789731051346,0.07926829268292683,0.9451219512195121,2045,1.911
paddle-stock[fr],fr_val_1,0.7059360730593607,0.8443983402489627,0.8796680497925311,3285,2.678
paddle-stock[fr],fr_val_2,0.5241286863270778,0.52,0.776,746,1.43
paddle-stock[fr],fr_val_3,0.07567567567567568,0.10197368421052631,0.9473684210526315,2035,1.999
paddle-stock[fr],fr_val_4,0.19080459770114944,0.2608695652173913,0.855072463768116,870,1.415
